Alpine function con p=0.05 Stacionary GA
Torneo
Iteracion,Tiempo_ms,Sol,Iter_sol,Dimension
6,47.70,24,9,15.51,212.29,4,10
7,53.32,50,3,10.38,547.86,5,10
8,49.84,65,4,0.14,907.44,8,10
9,60.05,7,9,38.89,788.53,1,10
10,48.91,5,4,0.04,33.42,7,10
11,54.43,19,1,0.11,274.86,7,10
12,53.57,4,8,1.23,709.65,0,10
13,53.91,44,8,30.01,118.69,7,10
14,56.66,68,7,0.24,154.24,8,10
15,68.49,93,7,0.10,310.99,2,10
16,61.34,71,3,0.01,117.02,6,10
17,57.98,30,3,0.46,812.27,5,10
18,63.51,15,8,2.88,523.11,0,10
19,54.34,22,6,0.05,1144.03,3,10
20,57.64,83,6,6.81,701.58,9,10
1,52.65,56,9,9.04,421.79,5,30
2,52.09,60,2,0.08,292.10,3,30
3,54.56,57,3,0.06,535.69,7,30
4,65.93,85,3,8.19,514.51,1,30
5,58.89,21,8,1.51,553.43,7,30
6,56.05,52,6,4.30,813.86,4,30
7,51.14,63,7,2.98,1047.37,3,30
8,58.83,12,7,1.37,795.26,5,30
9,59.95,54,4,1.66,774.76,7,30
10,63.70,32,3,3.01,548.44,6,30
11,66.13,82,9,0.10,700.25,6,30
12,69.87,74,7,8.23,579.90,8,30
13,64.79,92,5,4.75,53.15,5,30
14,51.11,83,7,0.37,776.46,3,30
15,49.00,35,7,0.03,408.50,5,30
16,52.64,83,4,0.06,895.57,4,30
17,57.67,9,5,6.68,619.57,9,30
18,49.41,43,9,0.13,611.35,9,30
19,75.20,33,8,4.61,1396.38,5,30
20,116.38,75,8,0.39,1117.34,7,30
